Nombre;Direccion;Telefono;Web;Rating;Reviews;Maps
Campus Training | Centro de Formación en Bilbao;Diego Lopez Haroko Kale Nagusia, 63 Bis, 1º A, Abando, 48011 Bilbao, Vizcaya;944 34 04 39;https://www.campustraining.es/?utm_source=gmb&utm_medium=organic&utm_campaign=campus_organic_es_gmb&MLL=11879;4.1;494;https://maps.google.com/?cid=4677682937186142454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Oposiciones Davante MasterD | Bilbao;Agirre Lehendakariaren Etorb., 5, Deusto, 48014 Bilbao, Bizkaia;944 75 97 30;https://www.masterd.es/delegaciones/bilbao/1500?piloto=773&utm_source=google&utm_medium=organic&utm_campaign=GMB;4.3;474;https://maps.google.com/?cid=7472823477106878117&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Centro de Estudios Inatec;Pl. Garellano, 14, bajo, Basurtu-Zorrotza, 48013 Bilbao, Bizkaia;944 22 29 52;http://www.centroinatec.com/;4.8;329;https://maps.google.com/?cid=3429831426596768748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bilbao Formación;Mazarredo Zumarkalea, 35, Abando, 48009 Bilbao, Bizkaia;944 24 95 92;https://www.bilbaoformacion.com/;4.5;187;https://maps.google.com/?cid=14164300771550867622&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Juritecnia - Centro de Formación en Bilbao;Calle Arenal, 5, 1º, Ibaiondo, 48005 Bilbao, Vizcaya;944 79 45 20;http://www.juritecnia.net/;4.5;177;https://maps.google.com/?cid=17533103547289777060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Centro Estudios Mikeldi;Autonomia Kalea, 62, Abando, 48012 Bilbao, Bizkaia;944 21 11 31;http://www.mikeldi.com/;3.9;125;https://maps.google.com/?cid=2545446825523312907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia San Agustín;Poza Lizentziatuaren Kalea, 53, Abando, 48011 Bilbao, Bizkaia;944 42 37 71;http://www.academiasanagustin.com/;4.6;102;https://maps.google.com/?cid=1191532203475025820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Edison;Gordóniz Kalea, 6, ext, dpto. 2, Abando, 48010 Bilbao, Bizkaia;944 44 00 47;http://academiasedison.es/;4.7;95;https://maps.google.com/?cid=581892806019925379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Belandia;Hurtado de Amezaga Kalea, 10, 2º Izq, Abando, 48008 Bilbao, Bizkaia;944 15 56 07;http://www.academiabelandia.com/;3.2;69;https://maps.google.com/?cid=17984635963507700050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Lua oposiciones - Oposiciones Ertzaintza y Policía Local;Larrauri Kalea, 1C, 48160 Elexalde Derio, Bizkaia;645 20 39 74;http://www.luaoposiciones.es/;5;69;https://maps.google.com/?cid=7993854291572195962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Loroño;Luis Briñas K., 7, Basurtu-Zorrotza, 48013 Bilbao, Bizkaia;944 22 13 79;http://www.academialorono.com/;5;63;https://maps.google.com/?cid=572253059815108250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Ikas Barakaldo;Muguruza Kalea, 15, Santa Teresa, 48902 San Vicente de Barakaldo, Bizkaia;607 25 65 20;http://www.ikasbarakaldo.com/;4.9;63;https://maps.google.com/?cid=7418844986988575261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
OpeBask - Academia de Oposiciones en Bilbao;C. de Bertendona, Nº 6, Abando, 48008 Bilbao, Vizcaya;946 07 33 62;https://www.opebask.com/;4;60;https://maps.google.com/?cid=7002589564508817611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Opebide - Academia de Oposiciones en Bilbao;C. Henao, 52, 1a, Abando, 48009 Bilbao, Vizcaya;945 10 26 08;http://opebide.com/;4.4;57;https://maps.google.com/?cid=6859494514031770404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ACADEMIA IKASLEKU (Barakaldo);Askatasun Etorbidea, 61, 48901 San Vicente de Barakaldo, Bizkaia;622 17 64 32;https://www.ikasleku.com/academias/academia-en-barakaldo/;5;50;https://maps.google.com/?cid=7878067982599312131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ACADEMIA EDISON GETXO;Torrene Kalea, 9, 48991 Algorta, Bizkaia;944 91 46 41;http://www.academiasedison.com/;4.8;49;https://maps.google.com/?cid=5963009300218906946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Centro de Estudios BILBAO;Simón Bolívar Kalea, 27, 1º (dpto 14, Abando, 48013 Bilbao, Bizkaia;678 92 72 15;https://academiabilbao.es/;5;47;https://maps.google.com/?cid=5564136781321312673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Newton;Calle, Urkixo Zumarkalea, 83, Basurtu-Zorrotza, 48013 Bilbao, Bizkaia;944 41 83 50;http://www.academianewton.com/;3.9;32;https://maps.google.com/?cid=12235543184191770196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia Oposiciones;Elcano Kalea, 34, C/ Colón de Larreátegui K., 12, Ledesma 8, Abando, 48008 Bilbao, Vizcaya;;https://estudiosadministrativos.com/;4.3;18;https://maps.google.com/?cid=8193948780426690715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ACADEMIA DELTA BILBAO;Egia Jeneralaren Kalea, 8, Abando, 48013 Bilbao, Bizkaia;946 57 06 14;http://www.academiadeltabilbao.com/;4.8;15;https://maps.google.com/?cid=15933829452789031024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Estudios Contables y Fiscales;Ledesma Musikariaren Kalea, 6, Abando, 48001 Bilbao, Bizkaia;944 24 89 63;https://www.estudioscontables.es/;4.7;15;https://maps.google.com/?cid=9725909370208531819&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Academia de Oposiciones Albia en Bilbao;Done Bikendi Kalea, 6, Abando, 48001 Bilbao, Bizkaia;615 75 63 87;http://www.albia.org/;2.8;11;https://maps.google.com/?cid=4649097255094239676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
